name,latitude,longitude
Central Library,47.60676,-122.32615
Ballard Branch,47.67013,-122.38397
Beacon Hill Branch,47.57855,-122.31165
Broadview Branch,47.7237,-122.35664
Capitol Hill Branch,47.62335,-122.32231
Columbia Branch,47.56033,-122.28692
Delridge Branch,47.55357,-122.36343
Douglass-Truth Branch,47.60238,-122.30182
Fremont Branch,47.65058,-122.34857
Green Lake Branch,47.68196,-122.32683
Greenwood Branch,47.6882,-122.35562
High Point Branch,47.54865,-122.3758
International District/Chinatown Branch,47.59687,-122.32287
Lake City Branch,47.72029,-122.29777
Madrona-Sally Goldmark Branch,47.61349,-122.29038
Magnolia Branch,47.64582,-122.40143
Montlake Branch,47.64088,-122.30271
NewHolly Branch,47.53985,-122.29087
Northeast Branch,47.67809,-122.29082
Northgate Branch,47.70673,-122.32314
Queen Anne Branch,47.63396,-122.36297
Rainier Beach Branch,47.52173,-122.27088
South Park Branch,47.52709,-122.3226
Southwest Branch,47.52291,-122.37642
University Branch,47.66556,-122.31788
Wallingford Branch,47.66206,-122.33857
West Seattle Branch,47.5828,-122.38486
